headword,alternatives,arabic
Marshall Islands,Islands|Marshall,جزر المارشال
Matched weighted position,Matched|position|weighted,المركز المتقابل المرجح
Material,,مادي
Material take off,,قائمة بالمواد
Materiality,,مادية، الأهمية النسبية
Maturity,,استحقاق
Maturity analysis,Maturity|analysis,تحليل الاستحقاقات
Maturity bucket,,وعاء/مجموعة الاستحقاق/الاستحقاقات
Maturity Date,Date|Maturity,تاريخ الاستحقاق
Maturity ladder approach,,أسلوب تدرج آجال الاستحقاق
Mauritania,,موريتانيا
Mauritius,,موريشيوس
Measurement,,القياس
Merchandise Inventory,Inventory|Merchandise,المخزون السلعي
Merchant,,تاجر، تجاري
Merge,,يندمج، اندماج
METAL & RECYCLING CO.,METAL|RECYCLING,شركة المعادن والصناعات التحويلية
Metal & Recycling Company,,شركة المعادن والصناعات التحويلية
Mexico,,المكسيك
MGF,,فرنك مالاجاسي - مدغشقر
"Micronesia, Federated States of",Micronesia,ميكرونيزيا
Midstream,,عمليات نقل البترول من أماكن الاستخراج لمصافي التكرير
Ministerial Resolution/Order,Ministerial|Order|Resolution,قرار وزاري
Ministry of Commerce and Industry,Commerce|Industry|Ministry,وزارة التجارة والصناعة
Ministry of Finance,Finance|Ministry,وزارة المالية
Ministry of Finance (MOF),Finance|MOF|Ministry,وزارة المالية
Ministry of Information (MOI),Information|MOI|Ministry,وزارة الإعلام
Ministry of Planning (MOP),MOP|Ministry|Planning,وزارة التخطيط
Misappropriation,,اختلاس
Misled the authorities,Misled|authorities,خدع/ضلل السلطات
Misrepresentation,,تحريف، تشويه، وصف الشيء على غير حقيقته، بيان كاذب
MLF,,فرنك مالي
MNT,,توجريك
MOBILE TELECOMMUNICATIONS COMPANY K.S.C,MOBILE|TELECOMMUNICATIONS,شركة الاتصالات المتنقلة - ش.م.ك
Mobilized,,يحفز، يحرك، يعبيء
Modelling,,نمذجة، محاكاة، قولبة
Moldova,,مولدوفا
Monaco,,موناكو
Monetary policies,Monetary|policies,سياسات نقدية
Monetization,,تحويل إلى نقد، سك النقود
Money market funds,Money|funds|market,صناديق السوق النقدي
Mongolia,,منغوليا
Montenegro,,الجبل الأسود
MOP,,باتاكا
Morocco,,المغرب
Mortgage,,الرهن
Mozambique,,موزامبيق
MT per annum,MT,طن متري سنويا
MTP,,جنيه مالطي
Multinational,,متعدد الجنسيات
Multinational enterprise,,شركة متعددة الجنسيات
MUR,,روبية موروسية
Murabaha,,مرابحة
Murabaha and Wakala payables,Murabaha|Wakala|Wakalah|payables,مرابحة ووكالة دائنة
MUSHRIF TRADING & CONTRACTING CO.,CONTRACTING|MUSHRIF|TRADING,شركة مشرف للتجارة والمقاولات ش.م.ك مقفلة
MVR,,روبية مالدوفا
MWK,,كواشا
MXP,,بيزو مكسيكي
Myanmar (Burma),Burma|Myanmar,ميانمار
MYR,,رنجيت ماليزي
MZM,,ميتيكال
Namibia,,ناميبيا
National Bank of Abu Dhabi,Abu Dhabi|Bank|National,بنك أبو ظبي الوطني
National Bank of Kuwait (NBK),Bank|Kuwait|NBK|National,بنك الكويت الوطني
NATIONAL CLEANING CO. (S.A.K.C),CLEANING|NATIONAL,الشركة الوطنية للتنظيف ش.م.ك.م
National Cleaning Company,,الشركة الوطنية للتوظيف
NATIONAL CO. FOR CONSUMER INDUSTRIES,CONSUMER|INDUSTRIES|NATIONAL,الشركة الوطنية للصناعات الاستهلاكية
National income,National|income,الدخل القومي
National Industries,,شركة مجموعة الصناعات الوطنية
NATIONAL INDUSTRIES COMPANY FOR BUILDING,BUILDING|INDUSTRIES|NATIONAL,شركة الصناعات الوطنية لمواد البناء ش.م.ك
National Industries Company For Building,,شركة الصناعات الوطنية لمواد البناء
NATIONAL INDUSTRIES GROUP (HOLDING),GROUP|HOLDING|INDUSTRIES|NATIONAL,مجموعة الصناعات الوطنية (القابضة)‏
NATIONAL INTERNATIONAL CO. (HOLDING),HOLDING|INTERNATIONAL|NATIONAL,الشركة الوطنية الدولية (القابضة) ش.م.ك.م
National International Company,,الشركة الوطنية الدولية القابضة
NATIONAL INVESTMENTS COMPANY,INVESTMENTS|NATIONAL,شركة الاستثمارات الوطنية
National Investments Company,,الشركة الوطنية للاستثمار
NATIONAL MOBILE TELECOMMUNICATIONS KSC,MOBILE|NATIONAL|TELECOMMUNICATIONS,الشركة الوطنية للاتصالات المتنقلة ش.م.ك
NATIONAL PETROLEUM SERVICES CO. K.S.C.C.,NATIONAL|PETROLEUM|SERVICES,الشركة الوطنية للخدمات البترولية ش.م.ك.م
National Petroleum Services Company,,الشركة الوطنية للخدمات البترولية
NATIONAL RANGES COMPANY K.S.C.C.,NATIONAL|RANGES,الشركة الوطنية للميادين ش.م.ك مقفلة
National Ranges Company K.S.C.C.,,الشركة الوطنية للميادين ش.م.ك (مقفلة)
NATIONAL REAL ESTATE COMPANY,NATIONAL|REAL ESTATE,الشركة الوطنية العقارية
National Real Estate Company,,الشركة الوطنية العقارية
NATIONAL SLAUGHTER HOUSE CO. K.S.C.C,HOUSE|NATIONAL|SLAUGHTER,الشركة الوطنية للمسالخ ش.م.ك مقفلة
National Slaughter House Company,,الشركة الوطنية للمسالخ
Nauru,,جزيرة ناورو
NBK,,بنك الكويت الوطني
Negative goodwill,Negative|goodwill,شهرة سالبة
Negotiable,,قابل للتداول، قابل للتفاوض
Negotiation,,تفاوض، تداول، خصم، حسم، شراء
Negotiator,,قائم بالتداول أو الخصم أو القطع، تاجر، مفاوض
Nepal,,نيبال
Net (decrease)/increase in cash and cash equivalents,cash|cash equivalents,صافي (النقص)/الزيادة في النقد والنقد المعادل
Net (reversal) / provision for impairment of receivables and prepayments,impairment|prepayments|receivables,صافي (عكس)/مخصص انخفاض قيمة الذمم المدينة ومدفوعات مقدما
Net adjusted profit,Net|adjusted|profit,صافي الربح المعدل
Net asset value per unit,NAV|Net|asset|per unit|value,صافي قيمة الموجودات للوحدة
Net Assets,Assets|Net,صافي الموجودات- الفرق بين مجموع الأصول و مجموع الالتزامات
Net assets attributable to unit holders,Net|assets|net assets|unit holders,صافي الموجودات العائدة لحاملي الوحدات
Net assets value (“NAV”) per unit,NAV,صافي قيمة الموجودات للوحدة
Net book value,Net|book|value,صافي القيمة الدفترية
Net carrying value,Net|carrying|value,صافي القيمة الدفترية
Net Cash Flows,Cash|Cash Flows|Flows|Net,صافي التدفقات النقدية
Net cash from operating activities,Net cash|activities|operating,صافي النقد من الأنشطة التشغيلية
Net cash from/(used) in investing activities,Net cash|investing activities,صافي النقد من/(المستخدم في) الأنشطة الاستثمارية
Net cash used in financing activities,Net cash|financing activities,صافي النقد المستخدم في الأنشطة التمويلية
Net cash used in investing activity,Net cash|investing activity,صافي النقد المستخدم في الأنشطة الاستثمارية
Net decrease in cash and cash equivalents,cash and cash equivalents,صافي النقص في النقد والنقد المعادل
Net gains on disposal of available-for-sale assets transferred to income statement,Net gains|assets|available for sale|available-for-sale|income statement|statement of income|transferred,صافي الأرباح من بيع موجودات متاحة للبيع ومحولة إلى بيان الدخل
Net Income,Income|Net,صافي الدخل
Net income,Net|income,صافي الدخل
Net income for the year,Net|income|net income|year,صافي إيراد السنة
Net income for the year before extraordinary item,Net|extraordinary|income|item|net income|year,صافي إيراد السنة قبل بند غير عادي
Net income from ordinary activities,Net|Net income|activities|income|ordinary,صافي الإيراد من الأنشطة العادية
Net interest and similar income,Net|income|interest|net interest|similar|similar income,صافي فوائد ودخل مشابه
Net interest income,Net|income|interest|interest income|net interest,صافي إيراد الفوائد
Net investment income,Net|income|investment|investment income,صافي إيراد الاستثمار
Net loss for the period,Net loss|period,صافي خسارة الفترة
Net movement,Net|movement,صافي الحركة
Net movements in owner’s current account,Net movements|current account|movements|owner,صافي الحركة على حساب جاري المالك
Net profit,Net|profit,صافي الربح
Net profit from equity participation in group entities,Net profit|equity participation|group entities|net|profit,صافي الربح من مساهمات في حقوق ملكية شركات المجموعة
Net Realizable Value,Net|Realisable|Realisable Value|Realizable|Value,صافي القيمة المحققة
Net realized gain from investments held for trading,Net realized gain|held for trading|investments,صافي الربح المحقق من استثمارات للمتاجرة
Net tax due,Net|due|tax,صافي الضريبة المستحقة
Net unrealized (gain)/loss from investments held for trading,Net unrealized gain|held for trading|investments|loss,صافي (الربح)/الخسارة غير المحققة من استثمارات للمتاجرة
Net unrealized gain/(loss) from investments held for trading,Net unrealized gain|held for trading|investments|loss,صافي الربح/(الخسارة) غير المحققة من استثمارات للمتاجرة
Net Working Capital,Capital|Net|Working,صافي رأس المال العامل
Netherlands,Netherland,هولندا
New Zealand,NewZealand|Zealand,نيوزيلندا
NGN,,نايرا
NIBRAS HOLDING CO. K.S.C.C,HOLDING|NIBRAS,شركة النبراس القابضة ش.م.ك مقفلة
Nibras Holding Company,,شركة النبراس القابضة
NIC,,كوردوبا
Nicaragua,,نيكاراجوا
Niger,,النيجر
Nigeria,,نيجيريا
NLG,,جلدر هولندي
No Objection Letter (NOL),Letter|NOL|No|Objection,كتاب لا مانع
NOK,,كرون نرويجي
Non current assets,Non|assets|current,موجودات غير متداولة
Non current portion,Non|current|portion,الجزء غير الجاري
Non current portion of finance lease receivable,Non|current|finance lease receivable|portion,الجزء غير الجاري من مدينو عقد إيجار تمويلي
Non current portion of term loan,Non|current|loan|portion|term,الجزء غير الجاري من قرض لأجل
Non-Cooperative Country or Territory,Non-Cooperative,البلدان والمناطق غير المتعاونة
Non-current assets,Non-current|assets|current,الموجودات غير المتداولة
Non-current portion,Non-current|current|portion,الجزء غير الجاري
Non-current portion of term loans,Non-current|loans|portion|term|term loans,الجزء غير الجاري من قروض لأجل
Non-directional strategies,,إستراتيجيات غير اتجاهية
Non-discretionary portofolio,,محافظ غير اختيارية
Non-Interest Bearing Note,Bearing|Interest|Non-Interest|Note,ورقة تجارية لا تحمل فائدة
Non-life business,,التأمينات العامة
Non-negotiable,negotiable,غير قابل للتداول
Non-performing loans,Non-performing|loan|loans|performing,ديون متعسرة
Non-suit,,شطب الدعوى
Noor Financial Investment,,شركة نور للاستثمار المالي
NOOR FINANCIAL INVESTMENT K.S.C.C,FINANCIAL|INVESTMENT|NOOR,شركة نور للاستثمار المالي ش.م.ك مقفلة
Norway,,النرويج
Not qualify for,,لا تفي بشروط، لا تفي بمسـتلزمات، لا تفي بمقتضيات
Note,,إيضاح (في الميزانية)، ملاحظة
Notes,,إيضاحات
Notes payable,Notes|payable,أوراق دفع
Notes Receivable,Notes|Receivable,أوراق قبض
Notes to the condensed consolidated interim financial statements,Notes|condensed|consolidated|financial|interim|statements,إيضاحات حول البيانات المالية المرحلية المجمعة المكثفة
Notes to the condensed consolidated interim financial statements (Unaudited),Notes|Unaudited|condensed|consolidated|financial|interim|statements,إيضاحات حول البيانات المالية المرحلية المجمعة المكثفة (غير مدققة)
Notes to the interim condensed financial statements,Notes|condensed|financial|interim|statements,إيضاحات حول البيانات المالية المرحلية المكثفة
Notes to the interim condensed financial statements (Unaudited),Notes|Unaudited|condensed|financial|interim|statements,إيضاحات حول البيانات المالية المرحلية المكثفة (غير مدققة)
Notice of action,,إعلان صحيفة الدعوى
NPR,,روبية نيبالية
Number-crunching,Number|crunching,تحطيم الأرقام
NZD,,دولار نيوزيلاندي
O.T.C,,السوق الموازية
Objective evidence,Objective|evidence,دليل موضوعي
Objectives,,أغراض
Objectivity,,الموضوعية
Observation,,ملاحظة، مراعاة، احترام، مشاهدة، معاينة
Observation period,Observation|period,فترة الملاحظة
Obstructing justice,,عرقلة العدالة
Off-balance sheet activities,Off-balance sheet|activities|balance|sheet,أنشطة خارج الميزانية العمومية
Offering,,طرح
Offsite backup,,نسخ احتياطية خارج الموقع
OMR,,ريال عماني
On a straight-line basis,,بطريقة العائد الثابت
On behalf of,behalf,نيابة عن
On consolidation,consolidation,عند تجميع البيانات المالية
Onsite backup,,نسخ احتياطية داخل الموقع
Open economy,Open|economy,اقتصاد حر
Open-end credit,Open-end|credit,خط ائتمان مفتوح
Open-end fund,Open-end|fund,صندوق مفتوح الرأسمال
Open-end investment company,Open-end|investment,شركة استثمار مفتوحة الرأسمال
Operating Activities,Activities|Operating,الأنشطة التشغيلية
Operating Expenses,Expenses|Operating,المصاريف التشغيلية
Operations,,العمليات
Option,,خيار، حق الخيار
Option holder,Option|holder,حامل الخيار
Options purchased,Options|purchased,خيارات مشتراة
Options written,Options|written,خيارات مكتوبة
Order Notes,,إشعار اصدار سندات مالية (دائنة أو مدينة) لقطر ما أو بنك ما بموافقة وزير التجارة
Ordinary general assembly,Ordinary|assembly|general,الجمعية العمومية العادية
Organizing circulation of securities,Organizing|circulation|securities,تنظيم تداول الأوراق المالية
Osoul Leasing Finance Company,,شركة أصول للإجارة والتمويل
OSOUL LEASING FINANCE K.S.C.C,FINANCE|LEASING|OSOUL,شركة أصول للإجارة والتمويل ش.م.ك.م
Other income,Other|income,إيرادات أخرى
Other operating income,Other|income|operating,إيرادات تشغيلية أخرى
Outside financing,Outside|financing,تمويل خارجي
Outside security,Outside|security,ورقة مالية خارجية
Outsourcing,,توريد خارجي/تعهد خارجي
Outsourcing of services,,خدمات تعهدات خارجية
Outstanding,,قائم
Outstanding foreign exchange,Outstanding|exchange|foreign,عملات أجنبية قائمة
Outstanding option\\Outstanding,option,عقد خيار قائم
Over-the-counter market,OTC|Over-the-counter|market,السوق الموازية
Overheads,,النفقات غير المباشرة
Overshot,,تجاوز الهدف الاقتصادي أو الأرباح المتوقعة
Owners Equity,Equity|Owners,حقوق أصحاب المشروع - حقوق الملاك
Ownership,,ملكية
Owner’s current account,Owner|current account,حساب جاري المالك
PAB,,بالبوا
Paid-in Capital,Capital|Paid,رأس المال المدفوع
Paid-up capital,Capital|paid,رأس المال المدفوع
Pakistan,,باكستان
Palau,,بالاو
Palestine,,فلسطين
PALMS AGRO PRODUCTION CO. K.S.C.C.,AGRO|PALMS|PRODUCTION,شركة النخيل للإنتاج الزراعي ش.م.ك مقفلة
Panama,,بنما
Papua New Guinea,Guinea|Papua,بابو غينيا الجديدة
Par value of the issued shares,Par value|issued shares|shares,القيمة الاسمية للاسهم المصدرة
Paraguay,,براجواي
Participation certificate,Participation|certificate,سند مشاركة، شهادة مشاركة
Partner,,شريك
Partnership,,شركة تضامن - أشخاص
Pass to,,يئول إلى
Patent,,براءة اختراع
Payment outstanding report,,تقرير المدفوعات القائمة
Payroll accruals,Payroll|accruals,مستحقات رواتب
PEARL OF KUWAIT REAL ESTATE COMPANY,KUWAIT|PEARL|REAL ESTATE,شركة لؤلؤة الكويت العقارية
Pearl Of Kuwait Real Estate Company,,شركة لؤلؤة الكويت العقارية
Performance fees,Performance|fees,رسوم إنجاز
Performing loans,Performing|loans,قروض منتظمة
Permanent establishment,Permanent|establishment,منشأة دائمة
Persist,,يستمر
Peru,,بيرو
PES,,سول
Petitory action,Petitory|action,دعوى استحقاق
PGK,,كينا
Philippines,,الفلبين
PHP,,بيزو فلبيني
PKR,,روبية باكستانية
Placement fees,Placement|fees,رسوم اكتتاب
Placements,,ودائع
Plant,,منشأة، مصنع
Plant Assets,Assets|Plant,موجودات المصنع
Plasticized,,مغلف بالبلاستيك
Plea to the jurisdiction of the court,Plea|court|jurisdiction,الدفع بعدم الاختصاص
Pledge,,يرهن، رهن حيازي، ضمان، تعهد
Pledged securities,Pledged|securities,أوراق مالية مرهونة
PLZ,,زلوتي
Poland,,بولندا
Police record,Police|record,صحيفة الحالة الجنائية / فيش وتشبيه
Policies,,سياسات، بوالص تأمين
Policy,,سياسة، بوليصة تأمين، وثيقة تأمين
PORTLAND CEMENT COMPANY,CEMENT|PORTLAND,شركة أسمنت بورتلاند كويت
Portugal,,البرتغال
Possible return of goods,Possible|goods|return,احتمال مردودات البضاعة
post-run,,مكتب بريد
Practicality,,التطبيق العملي
Pre-emptive strike,Pre-emptive|strike,ضربة وقائنة
Preferred Stock,Preferred|Stock,الأسهم الممتازة
Preliminary hearing,Preliminary|hearing,جلسة أولية
Prelude,,مقدمة
Premises,,مقر
Premium,,علاوة إصدار
Prepaid expenses,Prepaid|expenses,مصاريف مدفوعة مقدما
Prepaid Insurance,Insurance|Prepaid,تأمين مدفوع مقدما
Prepayments,,مدفوعات مقدما
Prequalification,,سابقة أعمال
Price momentum,,قوة ارتفاع السعر أو انخفاضة
Price Waterhouse Cooper,Cooper|Waterhouse,برايس ووترهاوس كوبر
Pricing models,Pricing|models,نماذج تسعير
Prior to,Prior,سابق، سالف، قبل
Priorities,,الأولويات
Private client stockbroker,,سمسار أوراق مالية للعملاء الأفراد
Private placement,Private|placement,طرح للاكتتاب الخاص
Private placement memorandum,Private|memorandum|placement,مذكرة طرح للاكتتاب الخاص
Prize court,Prize|court,محكمة غنائم
Procedures,,إجراءات
Proceeds from,Proceeds,المحصل من
Proceeds on sale,Proceeds,متحصلات البيع
Procure,,يشتري
Product risk profile,,بيانات/ملف مخاطر المنتج
Production & operation management,,إدارة الإنتاج والتشغيل
Professional expenses,Professional|expenses,مصاريف مهنية
Profit,,ربح
Profit Margin,Margin|Profit,هامش ربح
Profit share from associates,Profit share|associates,حصة المجموعة في أرباح شركة زميلة
Profitability,,الربحية
Progress payment,,دفع على أساس التقدم في العمل، دفع تدريجي
Promissory,,إذني، تعهدي
Promissory Note,Note|Promissory,سند إذني، ورقة قبض، كمبيالة
Promotion of Collective Investment Schemes,Collective Investment Schemes|Investment Scheme|Investment Schemes|Promotion,ترويج مشاريع الاستثمار الجماعي غير النظامية
Properties,,ممتلكات، عقارات
"Property, plant and equipment",Property|equipment|plant,ممتلكات ومنشآت ومعدات
Proposals,,عروض، أفكار، مقترحات
Prospectus,,نشرة اكتتاب
Provide for,,يعمل، ينشئ، يكوّن مخصص لـ
Provident fund,Provident|fund,صندوق التأمين الاجتماعي
Provision,,مخصص
Provision for employees' indemnity,Provision|employees|indemnity,مخصص مكافأة نهاية الخدمة للموظفين
Provision for impairment losses,Provision|impairment|losses,مخصص لخسائر الانخفاض في القيمة
Provision write off,Provision|write off,استبعاد مخصص ، مخصص مشطوب
Provisions,,مخصصات، أحكام
Provisions no longer required,Provisions|no longer|required,مخصصات انتفى الغرض منها
PTE,,اسكودو
Public Accountant,Accountant|Public,محاسب قانوني
Public Authority for Civil Information (PACI),Civil Information|PACI|Public Authority,الهيئة العامة للمعلومات المدنية
Public Authority for Social Insurance (PASI),PASI|Public Authority|Social Insurance,المؤسسة العامة للتأمينات الاجتماعية
Purchase of investment securities,investment|securities,شراء أوراق مالية للاستثمار
Purchases,,مشتريات
Purchases Allowances,Allowances|Purchases,مسموحات المشتريات
Purchases Returns,Purchases|Returns,مردودات المشتريات
PYG,,جواراني
QAR,,ريال قطري
Qatar,,قطر
Qualitative,,نوعي
Qualitative Characteristics of Accounting Information,Accounting|Accounting Information|Characteristics|Qualitative,الصفات النوعية للمعلومات المحاسبية
Qualitative industry,,صناعة كمية
Quantitative,,كمي
Quick quote,,تثمين سريع، تسعير سريع، عطاء سريع
Quoted price,Quoted|price,سعر معلن
RAS AL KHAIMAH CO. FOR WHITE CEMENT(PSC),AL-KHAIMAH|CEMENT|RAS|WHITE,شركة رأس الخيمة لصناعة الأسمنت ش .م.ع
Ratio,,نسبة
Real Esate Construction And Investment Company,,شركة التعمير والاستثمار العقاري
Real Esate Trading And Investment Company,,شركة التجارة والاستثمار العقاري
Realized (loss) / gain,Realised|Realized|gain|loss,(خسارة)/ربح محقق
Realized (loss)/gain from investments held for trading,Realised|Realized|gain|held for trading|investments|loss,الخسارة/(الربح) المحقق من استثمارات للمتاجرة
Realized gain from investments held for trading,Realised|Realized gain|held for trading|investments,الربح المحقق من استثمارات للمتاجرة
Realized gain from sale of share in subsidiary,Realized gain|sale|subsidiary,ربح محقق من بيع أسهم في شركة تابعة
Realized Gain On disposal of a subsidiary to another Subsidiary,Realized Gain|Subsidiary|disposal|realised,ربح محقق من بيع شركة تابعة إلى شركة تابعة أخرى
Realized gain on investments available for sale,Realised|Realized gain|available for sale|investments,ربح محقق من استثمارات متاحة للبيع
Realized gain on investments held for trading,Realized|Realized gain|held for trading|investments,ربح محقق من استثمارات للمتاجرة
Realized gain on sale of investments available for sale,Realised|Realized gain|available for sale|investments,ربح محقق من بيع استثمارات متاحة للبيع
Realized gains on financial investments at fair value – statement of income,Realized gains|fair value|financial|investments|statement of income,أرباح محققة من استثمارات مالية بالقيمة العادلة – بيان الدخل
Realized gains on investments held for trading,Realized|gains|held for trading|investments,أرباح محققة من استثمارات للمتاجرة
Realized gains on trading investments,Realized|gains|trading investments,أرباح محققة من استثمارات للمتاجرة
Realized loss /(gain) on investments available for sale,Realized|available for sale|gain|investments|loss,خسارة/(ربح) محقق من استثمارات متاحة للبيع
Realized loss on available for sale investments,Realized|available for sale|investments|loss,خسارة محققة من استثمارات متاحة للبيع
Realized loss/(gain) from investments held for trading,Realized|gain|held for trading|investments|loss,الخسارة/(الربح) المحقق من استثمارات للمتاجرة
Receivables,,مدينون، ذمم مدينة، مستحقات
Receivables from shareholders,Receivables,مستحقات من المساهمين
Recognition,,التحقق، الاعتراف
Recommendation,,توصية، تزكية، نصيحة، تسجيل بريدي
Recoverable amount,Recoverable|amount,القيمة المستردة
Recruitment,,توظيف
Recusal,,رد القاضي/هيئة المحكمة
Recusation,,رد القاضي/هيئة المحكمة
Recuse,,رد القاضي/هيئة المحكمة
Referring to,,بالإشارة إلى
REFRIGERATION INDUSTRIES COMPANY,INDUSTRIES|REFRIGERATION,شركة صناعات التبريد والتخزين (ش.م.ك)‏
Refundable deposits,Refundable|deposits,تأمينات مستردة
Refunds,,أموال مستردة
Regardless,,بغض النظر عن، بصرف النظر عن، لا مبال، غافل، مهمل
Regulations,,تنظيمات
Regulatory agency,Regulatory|agency,هيئة مشرعة
Reinsurance,,إعادة التامين
Rejoices in the grand title,Rejoice|grand|title,فرح بلقبه الجديد
Related parties,Related|parties,أطراف ذات صلة
Related party transactions,Related|party|transactions,معاملات مع أطراف ذات صلة
Relevance,,الملائمة
Remarks,,ملاحظات
Renunciation,,تنازل
Replevin,,دعوى استرداد، دعوى إسترداد الأموال المحجوزة
Report,,تقرير
Reporting,,رفع التقارير
Reporting system,Reporting|system,نظام رفع التقارير
Repurchase agreement,Repurchase|agreement,اتفاقية إعادة شراء
Reserve,,احتياطي
Reserve for contribution to KAC,KAC|Reserve|contribution,احتياطي حصة مؤسسة الخطوط الجوية الكويتية
Reserve for contribution to Kuwait Airways Corporation,Airways|Corporation|Kuwait|Reserve|contribution,احتياطي حصة مؤسسة الخطوط الجوية الكويتية
Reserves,,احتياطيات
Responsibilities,,مسؤوليات
Restated,,معدّل/معدّلة
Restricted donations,Restricted|donation,تبرعات محدودة
Retail banking,Retail|banking,الخدمات المصرفية للأفراد
Retained earnings,Retained|earnings,أرباح مرحلة
Retakaful,,إعادة التكافل
Retention money,Retention|money,المبالغ المحتجزة
Retirement and terminal benefits,Retirement|benefits|terminal,التقاعد ومكافأة نهاية الخدمة
Return of goods,Return|goods,مردودات البضاعة
Return on Capital,,العائد على رأس المال
Return on Capital Employed (ROCE),Employed|ROCE|Return on Capital,معدل العائد على رأس المال المستخدم
Return on Equity (ROE),ROE|Return on Equity,معدل العائد على حقوق الملكية
Returns,,مردودات
Revaluation difference,Revaluation|difference,فروق إعادة تقييم
Revaluation surplus,Revaluation|surplus,فائض إعادة تقييم
Revenue,,الإيرادات
Revenue recognition,Revenue|recognition,تحقق الإيراد
Revenue stream evolution,,تطور تدفق الإيرادات
Reversal of depreciation,Reversal|depreciation,استرداد استهلاك
Reversal of impairment,Reversal|impairment,رد انخفاض
Revision earnings factors,,عوامل تعديل الإيرادات
Revolving facilities,Revolving|facilities,تسهيلات مدورة
Revolving loan,Revolving|loan,قرض مدور
Reward-and-punishmen,Reward|punishment,الثواب والعقاب
Reward-and-punishment systemt,Reward|punishment|systemt,نظام الثواب والعقاب
Rights of option holders,,حقوق حاملي الخيار
Risk appetitite,,مدى الاستعداد لتحمل المخاطر
Risk management manual,Risk|management|manual,دليل إدارة المخاطر
Risk of title,,مخاطر انتقال الملكية
Risk rating,Risk|rating,درجة الخطورة، تصنيف المخاطر
ROC (Revenue of Capital),Capital|ROC|Revenue,إيرادات رأس المال
ROL,,لاو روماني
Roles,,أدوار
Roles and responsibilities,Roles|responsibilities,الأدوار والمسؤوليات
Romania,,رومانيا
Routine practice,,إجراء روتيني أو اعتيادي
Run up,Run,فترة الإعداد التي تسبق الحدث
Russia,,روسيا
Rwanda,,رواندا
RWF,,فرنك رواندي
Safat Investment Company,,شركة الصفاة للاستثمار
SAFWAN TRADING & CONTRACTING CO. K.S.C.C,CONTRACTING|SAFWAN|TRADING,شركة صفوان للتجارة والمقاولات ش.م.ك.مقفل
Safwan Trading And Contracting Company,,شركة صفوان للتجارة والمقاولات
Saint Kitts and Nevis,Kitts|Nevis|Saint,سانت كتس اند نيفيس
Saint Lucia,Lucia|Saint,سانت لوسيا
Saint Vincent and The Grenadines,Grenadines|Saint|Vincent,سانت فنسنت والجرينادينز
Sale and maturity of investment securities,Sale|investment|maturity|securities,بيع واستحقاق أوراق مالية للاستثمار
Sale of investments held for trading,Sale|held for trading|investments,بيع استثمارات للمتاجرة
SALHIAH REAL ESTATE COMPANY,REAL ESTATE|SALHIAH,الشركة الصالحية العقارية
Salhiah Real Estate Company,,شركة الصالحية العقارية
Salvage value,Salvage|value,القيمة التخريدية
Samoa,,ساموا
San Marino,Marino|San,سان مارينو
SANAM REAL ESTATE CO. K.S.C.C,REAL ESTATE|SANAM,شركة سنام العقارية ش.م.ك مقفلة
Sanam Real Estate Company,,شركة سنام العقارية
Sao Tome and Principe,Principe|Sao|Tome,ساو تومي وبرنسبيل
SAR,,ريال سعودي
Saudi Arabia,Arabia|KSA|Saudi,السعودية
SBD,,دولار جزر سليمان
Scope,,نطاق، مجال
Scope of work,Scope|work,نطاق العمل
SCR,,روبية سيشلز
SDP,,جنيه سوداني
Secured by assignment of contract receivable,Secured|assignment|contract receivable,بضمان تنازل عن مديونية عقد
Securities,,أوراق مالية
Securities and Exchange Commission (SEC),Commission|Exchange|SEC|Securities,مجلس الأوراق المالية الأمريكي
Securities Group Company,,مجموعة الأوراق المالية
SECURITIES GROUP COMPANY (KSCC),GROUP|SECURITIES,مجموعة الأوراق المالية - ش.م.ك.مقفلة
SECURITIES HOUSE K.S.C.C,HOUSE|SECURITIES,شركة بيت الأوراق المالية ش.م.ك.م
Securities purchased under resale agreements,Securities|agreements|purchased|resale,أوراق مالية مشتراة مع حق إعادة بيعها
Securities sold under repurchase agreements,Securities|agreements|repurchase|sold,أوراق مالية مباعة مع حق إعادة الشراء
Securitization,,توريق، توريق الدين
Security Council,Council|Security,مجلس الأمن
Sefl contract,contract,عقد اتفاق مع النفس
Segment revenue,Segment|revenue,إيرادات القطاعات
Segregation,,فصل، عزل
Segregation of duties,Segregation|duties,فصل المهام/الواجبات
SEK,,كرون سويدي
Seller,,بائع
Selling Expenses,Expenses|Selling,مصاريف البيع - مصروفات البيع
Senegal,,السنغال
Senior auditor,Senior|auditor,مدقق أول/رئيسي
Senior consultant,Senior|consultant,مستشار أول/رئيسي
Senior management,Senior|management,الإدارة العليا
Serbia,,صربيا
Service,,خدمة
Servicing the debt,,خدمة الدين
Set out,Set,يوضح، يبين، يبدأ
Seychelles,,سيشل
SGD,,دولار سنغافوري
Shaming tactics,,أعمال مشينة
Share based payment arrangement,,ترتيبات سداد بالأسهم
Share capital,Share|capital,رأس المال/رأس المال المساهم
Share certificate,Share|certificate,شهادة بأسهم، شهادة أسهم
Share option,Share|option,أسهم الخيار، أسهم خيار الموظفين
Share premium,Share|premium,علاوة إصدار
Share-based payments,Share-based|payments,الدفعات على أساس الأسهم
Shareholders (Stockholders),Shareholders|Stockholders,المساهمون
Shareholders' equity,Shareholders|equity,حقوق المساهمين
